,arrival_time,departure_time,required_energy
0,12.6,15.5,28.6
1,38.2,39.6,14.3
2,22.2,25.1,28.6
3,3.2,9.4,61.599999999999994
4,24.3,27.7,34.1
5,7.3,13.4,60.5
6,10.5,15.2,47.3
7,5.3,7.3,19.8
8,28.6,33.8,51.7
9,8.6,10.0,14.3
10,17.3,19.8,25.299999999999997
11,7.2,13.1,59.400000000000006
12,19.3,23.0,37.4
13,34.2,35.3,11.0
14,11.6,15.9,42.9
15,28.6,35.0,63.8
16,18.8,23.6,48.400000000000006
17,18.8,20.3,15.399999999999999
18,35.9,36.6,6.6
19,3.5,6.5,29.700000000000003
20,22.6,23.6,9.9
21,34.7,36.5,17.6
22,14.6,17.8,31.9
23,7.3,10.5,31.9
24,18.2,19.8,16.5
25,37.9,39.6,16.5
26,38.2,42.6,44.0
27,33.1,34.3,12.100000000000001
28,22.1,27.7,56.099999999999994
29,9.6,15.4,58.3
30,37.3,42.0,47.3
31,29.8,32.0,22.0
32,9.3,13.9,46.2
33,30.5,32.2,16.5
34,7.4,12.1,47.3
35,13.4,14.1,6.6
36,4.2,8.0,38.5
37,12.8,14.3,15.399999999999999
38,13.6,16.8,31.9
39,6.5,9.6,30.799999999999997
40,39.7,42.3,26.4
41,9.8,12.6,27.5
42,19.3,23.2,38.5
43,21.1,27.2,60.5
44,7.7,13.1,53.900000000000006
45,12.6,18.3,57.2
46,18.2,22.4,41.8
47,8.8,15.0,61.599999999999994
48,29.6,31.2,16.5
49,2.2,5.3,30.799999999999997
50,27.4,30.0,26.4
51,15.8,18.0,22.0
52,39.8,42.0,22.0
53,1.5,5.9,44.0
54,7.9,11.3,34.1
55,19.1,20.9,17.6
56,15.6,21.8,61.599999999999994
57,21.8,27.2,53.900000000000006
58,34.5,35.9,14.3
59,18.7,19.7,9.9
60,6.7,10.0,33.0
61,10.5,15.2,47.3
62,12.9,17.7,48.400000000000006
63,2.2,6.4,41.8
64,34.0,34.6,5.5
65,34.9,39.8,49.5
66,2.3,7.2,49.5
67,32.5,37.9,53.900000000000006
68,31.0,37.4,63.8
69,13.4,14.3,8.8
70,5.2,8.5,33.0
71,31.2,32.5,13.2
72,16.5,18.3,17.6
73,27.7,29.1,14.3
74,31.5,34.7,31.9
75,5.7,9.3,36.3
76,35.6,36.9,13.2
77,23.8,25.6,17.6
78,27.7,31.3,36.3
79,27.0,33.4,63.8
80,24.5,29.4,49.5
81,18.0,24.5,64.9
82,35.8,38.7,28.6
83,29.3,33.9,46.2
84,10.9,12.7,17.6
85,3.2,4.9,16.5
86,30.9,32.6,16.5
87,4.7,5.8,11.0
88,36.6,38.0,14.3
89,40.0,43.0,29.700000000000003
90,11.8,17.2,53.900000000000006
91,16.9,21.6,47.3
92,34.4,36.6,22.0
93,6.9,8.0,11.0
94,10.5,15.8,52.8
95,26.7,27.9,12.100000000000001
96,19.7,21.2,15.399999999999999
97,38.8,42.0,31.9
98,33.8,36.3,25.299999999999997
99,33.6,39.3,57.2
100,20.9,25.6,47.3
101,25.9,29.4,35.2
102,0.3,2.5,22.0
103,20.3,22.7,24.200000000000003
104,15.7,20.3,46.2
105,9.5,12.1,26.4
106,17.4,18.3,8.8
107,17.9,23.5,56.099999999999994
108,20.6,26.0,53.900000000000006
109,21.8,23.6,17.6
110,9.6,10.9,13.2
111,2.0,2.8,7.699999999999999
112,1.5,2.7,12.100000000000001
113,9.1,11.1,19.8
114,11.8,17.7,59.400000000000006
115,35.1,36.8,16.5
116,35.2,37.4,22.0
117,4.6,8.0,34.1
118,20.8,24.8,39.6
119,3.0,6.0,29.700000000000003
120,25.9,29.3,34.1
121,18.9,24.4,55.0
122,33.8,38.5,47.3
123,35.5,41.2,57.2
124,19.4,25.6,61.599999999999994
125,37.9,40.9,29.700000000000003
126,12.7,16.9,41.8
127,19.4,24.0,46.2
128,21.8,22.7,8.8
129,31.0,32.6,16.5
130,30.7,37.0,62.7
131,39.3,42.8,35.2
132,28.1,33.5,53.900000000000006
