,arrival_time,departure_time,required_energy
0,4.6,5.8,12.100000000000001
1,10.5,13.4,28.6
2,4.0,6.8,27.5
3,13.5,19.3,58.3
4,8.7,13.2,45.099999999999994
5,10.2,15.9,57.2
6,0.7,5.0,42.9
7,4.1,5.5,14.3
8,14.3,19.8,55.0
9,7.1,13.4,62.7
10,12.2,15.5,33.0
11,8.8,11.4,26.4
12,16.6,18.2,16.5
13,9.4,12.3,28.6
14,4.7,9.6,49.5
15,16.1,22.3,61.599999999999994
16,14.2,18.2,39.6
17,3.3,9.2,59.400000000000006
18,16.3,17.8,15.399999999999999
19,6.7,7.6,8.8
20,4.7,5.5,7.699999999999999
21,6.7,9.1,24.200000000000003
22,13.6,16.4,27.5
23,10.8,14.1,33.0
24,3.2,8.3,50.599999999999994
25,2.6,9.1,64.9
26,8.3,12.2,38.5
27,3.1,9.2,60.5
28,3.9,6.3,24.200000000000003
29,11.5,13.8,23.1
30,11.6,15.9,42.9
31,16.9,22.6,57.2
32,11.8,16.3,45.099999999999994
33,0.7,2.8,20.9
34,17.5,19.0,15.399999999999999
35,6.8,10.5,37.4
36,10.4,15.1,47.3
37,0.0,1.3,13.2
38,3.5,8.8,52.8
39,0.3,6.8,64.9
40,2.7,9.2,64.9
41,0.2,1.5,13.2
42,6.5,9.9,34.1
43,20.0,24.1,40.7
44,4.8,5.6,7.699999999999999
45,8.7,11.7,29.700000000000003
46,12.8,13.5,6.6
47,9.6,10.5,8.8
48,2.3,6.3,39.6
49,11.6,14.9,33.0
50,7.3,12.0,47.3
51,15.8,19.9,40.7
52,18.6,23.0,44.0
53,4.1,9.0,49.5
54,17.8,18.4,5.5
55,7.4,12.2,48.400000000000006
56,1.3,3.4,20.9
57,0.1,2.5,24.200000000000003
58,15.2,20.2,49.5
59,15.3,17.2,18.7
60,14.5,18.2,37.4
61,2.6,5.4,27.5
62,13.9,16.0,20.9
63,7.1,10.8,37.4
64,16.6,22.8,61.599999999999994
65,15.0,19.7,47.3
66,5.4,8.2,27.5
67,5.3,11.6,62.7
68,6.9,10.3,34.1
69,15.7,19.4,37.4
70,7.8,13.7,59.400000000000006
71,8.5,13.9,53.900000000000006
72,17.0,20.6,36.3
73,6.2,7.4,12.100000000000001
74,14.3,20.9,66.0
75,17.4,18.2,7.699999999999999
76,1.0,7.4,58.3
77,12.4,16.0,33.0
78,17.0,20.0,27.5
79,3.0,7.4,40.7
80,16.0,18.8,25.299999999999997
81,17.0,22.4,49.5
82,9.8,10.6,7.699999999999999
83,17.1,18.9,16.5
84,16.2,23.0,62.7
85,0.1,3.7,33.0
86,12.5,14.5,18.7
87,11.6,12.9,12.100000000000001
88,5.4,8.8,30.799999999999997
89,8.6,14.1,50.599999999999994
90,12.9,18.8,53.900000000000006
91,0.8,4.0,29.700000000000003
92,0.1,7.2,64.9
93,18.4,19.8,13.2
94,10.3,11.4,9.9
95,19.0,24.4,49.5
96,1.9,8.6,61.599999999999994
97,12.2,14.7,23.1
98,15.2,18.0,25.299999999999997
99,2.9,5.7,25.299999999999997
