,arrival_time,departure_time,required_energy
0,0.3,4.1,26.4
1,3.6,6.7,26.4
2,0.8,6.5,57.2
3,7.4,14.5,56.099999999999994
4,7.9,11.5,23.1
5,3.7,8.7,34.1
6,6.7,7.5,6.6
7,7.2,8.5,9.9
8,2.0,10.3,64.9
9,3.7,11.0,53.900000000000006
10,7.2,9.5,19.8
11,2.2,5.8,23.1
12,6.3,9.7,26.4
13,0.9,3.6,20.9
14,5.1,10.2,37.4
15,7.3,8.5,8.8
16,1.9,4.4,18.7
17,3.6,6.1,25.299999999999997
18,6.9,13.5,66.0
19,6.6,8.4,11.0
20,6.4,12.8,47.3
21,5.1,9.0,38.5
22,2.5,5.5,27.5
23,4.4,6.3,11.0
24,7.5,13.8,46.2
25,0.2,6.6,63.8
26,1.8,4.9,19.8
27,1.7,7.3,51.7
28,5.4,12.8,62.7
29,1.3,4.9,22.0
30,3.7,7.1,22.0
31,5.1,8.7,36.3
32,2.8,6.8,39.6
33,5.4,7.2,17.6
34,5.1,8.8,24.200000000000003
35,5.0,6.9,11.0
36,0.8,3.9,28.6
37,5.9,9.4,29.700000000000003
38,5.3,10.3,39.6
39,7.2,8.8,9.9
