,arrival_time,departure_time,required_energy
0,7.1,13.3,57.2
1,10.7,13.8,23.1
2,9.1,17.5,66.0
3,1.4,7.8,63.8
4,4.4,10.0,56.099999999999994
5,4.2,10.8,51.7
6,7.8,15.2,53.900000000000006
7,9.3,11.7,22.0
8,11.2,17.6,63.8
9,13.4,17.5,29.700000000000003
10,15.7,21.6,53.900000000000006
11,1.8,8.5,61.599999999999994
12,10.4,14.1,34.1
13,17.5,24.0,47.3
14,15.3,17.8,19.8
15,1.8,9.2,53.900000000000006
16,10.9,14.5,30.799999999999997
17,12.1,14.4,19.8
18,12.6,20.2,59.400000000000006
19,19.9,22.7,25.299999999999997
20,2.6,10.0,53.900000000000006
21,3.1,8.9,39.6
22,4.0,6.8,20.9
23,18.2,21.4,27.5
24,8.5,10.3,15.399999999999999
25,3.9,8.5,31.9
26,5.9,13.0,60.5
27,2.2,3.2,6.6
28,1.5,4.4,19.8
29,4.4,10.8,63.8
30,6.8,9.2,18.7
31,0.6,4.5,25.299999999999997
32,4.0,6.8,25.299999999999997
33,8.5,13.8,52.8
34,14.9,19.4,30.799999999999997
35,3.5,10.6,56.099999999999994
36,13.7,20.1,63.8
37,4.9,10.3,49.5
38,9.7,16.6,50.599999999999994
39,5.7,11.1,49.5
40,17.3,20.3,22.0
41,0.4,5.8,39.6
42,4.6,6.6,16.5
43,14.7,21.8,60.5
44,11.5,14.0,15.399999999999999
45,15.2,18.4,22.0
46,16.4,19.1,19.8
47,17.9,24.3,63.8
48,5.6,9.2,30.799999999999997
49,8.9,16.5,59.400000000000006
50,12.6,14.6,16.5
51,0.6,1.8,12.100000000000001
52,2.4,5.9,24.200000000000003
53,1.6,2.5,6.6
54,3.0,4.4,14.3
55,7.6,12.4,44.0
56,4.1,4.9,7.699999999999999
57,7.3,10.2,18.7
58,11.7,13.2,15.399999999999999
59,2.5,5.9,25.299999999999997
60,1.4,8.4,59.400000000000006
61,10.8,17.4,60.5
62,0.6,2.8,14.3
63,11.3,18.2,50.599999999999994
64,1.4,6.1,47.3
65,14.4,15.4,9.9
66,11.8,12.8,5.5
67,12.7,18.3,56.099999999999994
68,18.5,21.4,26.4
69,2.6,8.2,47.3
70,0.2,3.4,22.0
71,19.4,25.5,56.099999999999994
72,9.1,13.1,34.1
73,13.5,15.9,22.0
74,16.0,17.3,8.8
75,1.6,6.7,35.2
76,12.2,16.9,47.3
77,4.4,8.5,37.4
78,19.1,26.2,56.099999999999994
79,6.2,11.6,49.5
80,13.8,19.8,50.599999999999994
81,5.8,10.7,45.099999999999994
82,6.0,11.6,38.5
83,11.2,16.3,33.0
84,4.8,10.6,49.5
85,3.8,7.2,26.4
86,0.1,5.0,45.099999999999994
87,15.9,23.3,62.7
88,17.1,22.0,38.5
89,8.1,15.0,53.900000000000006
90,18.1,24.2,51.7
91,17.6,20.7,26.4
92,14.8,19.8,39.6
93,8.5,13.4,49.5
94,4.4,7.0,22.0
95,15.7,17.8,14.3
96,19.9,26.4,55.0
97,14.0,20.5,59.400000000000006
98,16.4,22.8,53.900000000000006
99,5.6,9.0,30.799999999999997
